"UserID","FirstName","LastName","email","phoneNumber","isLocked"
1,Cameran,Nieves,in.cursus@outlook.com,(874) 671-5157,0
2,Deacon,Harrington,mauris.nulla@aol.com,(672) 931-2728,0
3,Serina,Middleton,justo@yahoo.net,"1-124-825-0799",0
4,Armand,Mckinney,sit@outlook.org,(681) 686-2353,0
5,Libby,Juarez,enim@icloud.net,(499) 383-9009,0
6,Albert,Camus,Albert.Camus@gmail.com,"522721078",0
7,James,Joyce,James.Joyce@gmail.com,"3357279989",0
8,Emily,Brontë,Emily.Brontë@gmail.com,"4245808641",0
9,George,Orwell,George.Orwell@gmail.com,"3237751911",0
10,Vladimir,Nabokov,Vladimir.Nabokov@gmail.com,"5052315167",0
11,Dante,Alighieri,Dante.Alighieri@gmail.com,"6426090944",0
12,Charles,Dickens,Charles.Dickens@gmail.com,"4021148610",0
13,Ernest,Hemingway,Ernest.Hemingway@gmail.com,"6770721491",0
14,E. M.,Forster,E. M..Forster@gmail.com,"5784931072",0
15,Antoine,de Saint-Exupéry,Antoine.de Saint-Exupéry@gmail.com,"8153702918",0
16,Boris,Pasternak,Boris.Pasternak@gmail.com,"4850319126",0
17,Arthur,Conan Doyle,Arthur.Conan Doyle@gmail.com,"8016491837",0
18,Edith,Wharton,Edith.Wharton@gmail.com,"7089032823",0
19,D. H.,Lawrence,D. H..Lawrence@gmail.com,"3621376253",0
20,Bram,Stoker,Bram.Stoker@gmail.com,"8407345501",0
21,Edgar,Allan Poe,Edgar.Allan Poe@gmail.com,"449841980",0
22,Daniel,Defoe,Daniel.Defoe@gmail.com,"7735793779",0
23,Cormac,McCarthy,Cormac.McCarthy@gmail.com,"2617387529",1
24,Emily,Dickinson,Emily.Dickinson@gmail.com,"9018957848",0
25,Charles,Darwin,Charles.Darwin@gmail.com,"5056547212",0
26,Alexandre,Dumas,Alexandre.Dumas@gmail.com,"5787590396",0
27,Ayn,Rand,Ayn.Rand@gmail.com,"9439643483",0
28,Agatha,Christie,Agatha.Christie@gmail.com,"6772843395",0
29,Dino,Buzzati,Dino.Buzzati@gmail.com,"3606479034",0
30,Dan,Brown,Dan.Brown@gmail.com,"8467510212",0
31,Anthony,Powell,Anthony.Powell@gmail.com,"7899060425",0
32,Alan,Moore,Alan.Moore@gmail.com,"2390411352",0
33,Alexander,Pushkin,Alexander.Pushkin@gmail.com,"4610786974",0
34,Christina,Stead,Christina.Stead@gmail.com,"9652892062",0
35,Angela,Carter,Angela.Carter@gmail.com,"4992138544",0
36,Émile,Zola,Émile.Zola@gmail.com,"1157152694",0
37,Martin,Doychev,email@gmail.com,+123467890,0
38,Christina,Ablanska,ch.ablanska@gmail.com,"232585232",0
39,Hristina,Ablanska,ch.ablanska@gmail.com,"452325632",0
40,Georgy,Yanakiev,georgy.yanakiev@gmail.com,"425368995",0
